2 0 57.694
2 1 57.150
2 2 56.607
2 3 56.066
2 4 55.527
2 5 54.990
3 0 54.457
3 1 53.928
3 2 53.403
3 3 52.882
3 4 52.367
3 5 51.856
4 0 51.351
4 1 50.851
4 2 50.357
4 3 49.870
4 4 49.388
4 5 48.913
5 0 48.444
5 1 47.982
5 2 47.527
5 3 47.078
5 4 46.636
5 5 46.201
6 0 45.773
6 1 45.352
6 2 44.938
6 3 44.530
6 4 44.130
6 5 43.737
7 0 43.350
7 1 42.970
7 2 42.597
7 3 42.231
7 4 41.872
7 5 41.519
8 0 41.173
8 1 40.834
8 2 40.501
8 3 40.175
8 4 39.855
8 5 39.541
9 0 39.233
9 1 38.932
9 2 38.636
9 3 38.347
9 4 38.064
9 5 37.786
10 0 37.514
10 1 37.248
10 2 36.988
10 3 36.733
10 4 36.483
10 5 36.238
11 0 35.999
11 1 35.765
11 2 35.536
11 3 35.312
11 4 35.093
11 5 34.879
12 0 34.670
12 1 34.465
12 2 34.264
12 3 34.068
12 4 33.877
12 5 33.690
13 0 33.507
13 1 33.328
13 2 33.153
13 3 32.982
13 4 32.815
13 5 32.652
14 0 32.493
14 1 32.337
14 2 32.185
14 3 32.036
14 4 31.891
14 5 31.749
15 0 31.611
15 1 31.476
15 2 31.344
15 3 31.215
15 4 31.089
15 5 30.967
16 0 30.847
16 1 30.730
16 2 30.615
16 3 30.504
16 4 30.395
16 5 30.289
17 0 30.185
17 1 30.084
17 2 29.986
17 3 29.889
17 4 29.795
17 5 29.704
18 0 29.614
18 1 29.527
18 2 29.442
18 3 29.359
18 4 29.278
18 5 29.200
19 0 29.123
19 1 29.048
19 2 28.975
19 3 28.903
19 4 28.834
19 5 28.766
20 0 28.700
20 1 28.636
20 2 28.573
20 3 28.512
20 4 28.452
20 5 28.394
21 0 28.338
21 1 28.282
21 2 28.229
21 3 28.176
21 4 28.125
21 5 28.076
22 0 28.027
22 1 27.980
22 2 27.934
22 3 27.890
22 4 27.846
22 5 27.804
23 0 27.763
23 1 27.723
23 2 27.683
23 3 27.645
23 4 27.608
23 5 27.572
24 0 27.537
24 1 27.503
24 2 27.470
24 3 27.437
24 4 27.406
24 5 27.375
25 0 27.346
25 1 27.317
25 2 27.288
25 3 27.261
25 4 27.234
25 5 27.209
26 0 27.183
26 1 27.159
26 2 27.135
26 3 27.112
26 4 27.089
26 5 27.068
27 0 27.046
27 1 27.026
27 2 27.006
27 3 26.986
27 4 26.967
27 5 26.949
28 0 26.931
28 1 26.914
28 2 26.897
28 3 26.881
28 4 26.865
28 5 26.849
29 0 26.834
29 1 26.820
29 2 26.806
29 3 26.792
29 4 26.779
29 5 26.766
